Decimal,Subfleet,Alpha Tag,Mode,Description,Service Tag,Category
1,,Test1,D,Testing,Other,Radio Service
2,,Test2,D,Testing,Other,Radio Service
4,,Test4,D,Testing,Other,Radio Service
5,,Test5,D,Testing,Other,Radio Service
6,,Test6,D,Testing,Other,Radio Service
8,,Test8,D,Testing,Other,Radio Service
56003,,CLE Streets,D,Streets,Public Works,Cleveland Public Works
56011,,CLE RadioSvc,D,Radio Service,Public Works,Cleveland Public Works
56029,,REG IO CLNG,D,Regional Interop  Calling,Interop,InteropCommon
56030,,REGION 2 IO,D,Region 2 Interop,Interop,InteropCommon
56031,,REGION 3 IO,D,Region 3 Interop,Interop,InteropCommon
56032,,REGION 4 IO,D,Region 4 Interop,Interop,InteropCommon
56033,,REGION 5 IO,D,Region 5 Interop,Interop,InteropCommon
56034,,REGION 6 IO,D,Region 6 Interop,Interop,InteropCommon
56035,,REGION 7 IO,D,Region 7 Interop,Interop,InteropCommon
56036,,REGION 8 IO,D,Region 8 Interop,Interop,InteropCommon
56037,,REGION 9 IO,D,Region 9 Interop,Interop,InteropCommon
56038,,REGION 10 IO,D,Region 10 Interop,Interop,InteropCommon
56039,,REGION 11 IO,D,Region 11 Interop,Interop,InteropCommon
56040,,REGION 12 IO,D,Region 12 Interop,Interop,InteropCommon
56041,,REGION 13 IO,D,Region 13 Interop,Interop,InteropCommon
56042,,REGION 14 IO,D,Region 14 Interop,Interop,InteropCommon
56043,,REGION 15 IO,D,Region 15 Interop,Interop,InteropCommon
56044,,REGION 16 IO,D,Region 16 Interop,Interop,InteropCommon
56050,,CLE BLDG 1,D,Building Maintenance 1,Public Works,Cleveland Hopkins International Airport CLE
56051,,CLE BLDG 4,D,Building Maintenance 4,Public Works,Cleveland Hopkins International Airport CLE
56053,,CLE BLDG 2,D,Building Maintenance 2,Public Works,Cleveland Hopkins International Airport CLE
56054,,CLE CUSTODIA,D,Custodial Operations,Public Works,Cleveland Hopkins International Airport CLE
56055,,CLE ELECT,D,Electrical,Public Works,Cleveland Hopkins International Airport CLE
56056,,CLE ENG,D,Engineering,Public Works,Cleveland Hopkins International Airport CLE
56057,,CLE AFM1,D,Airfield Maintenance 1,Public Works,Cleveland Hopkins International Airport CLE
56058,,CLE AFM2,D,Airfield Maintenance 2,Public Works,Cleveland Hopkins International Airport CLE
56059,,CLE AFM3,D,Airfield Maintenance 3,Public Works,Cleveland Hopkins International Airport CLE
56062,,CLE OPS1,D,Operations,Public Works,Cleveland Hopkins International Airport CLE
56063,,CLE OPS2,D,Operations 2,Public Works,Cleveland Hopkins International Airport CLE
56064,,CLE UTIL,D,Utilities,Public Works,Cleveland Hopkins International Airport CLE
56065,,CLE UTIL,D,Utilities,Public Works,Cleveland Hopkins International Airport CLE
56068,,CLE ARFF OPS,D,ARFF Operations,Fire Dispatch,Cleveland Hopkins International Airport CLE
56069,,CLE ARFF ALR,D,ARFF Alert,Fire Dispatch,Cleveland Hopkins International Airport CLE
